ticker,company,date,movement,headline
AMZN,Amazoncom Inc,20190219,29.0,UPDATE 1-Amazon's China unit in merger talks with NetEase's Kaola -report 
AMZN,Amazoncom Inc,20190219,29.0,Amazon's Chinese unit in merger talks with NetEase's Kaola -report 
AMZN,Amazoncom Inc,20190214,3.36,Breakingviews - Amazon  NYC shoot selves and each other in foot 
AMZN,Amazoncom Inc,20190214,3.36,UPDATE 5-Feeling unwelcome  Amazon ditches plans for New York hub 
AMZN,Amazoncom Inc,20190214,3.36,JBG Smith shares rise after Amazon.com nixes NY HQ 
AMZN,Amazoncom Inc,20190214,3.36,Weakest U.S. retail sales since 2009 cast pall over economy 
AMZN,Amazoncom Inc,20190214,3.36,WRAPUP 3-Weakest U.S. retail sales since 2009 cast pall over economy 
AMZN,Amazoncom Inc,20190214,3.36,Amazon will abandon plans to build 2nd headquarters in New York 
AMZN,Amazoncom Inc,20190214,3.36,Amazon will abandon plans to build HQ2 in New York 
AMZN,Amazoncom Inc,20190214,3.36,Google  Amazon among those targeted in EU unfair practices digital rules 
AMZN,Amazoncom Inc,20190214,3.36,UPDATE 1-Google  Amazon among those targeted in EU unfair practices digital rules 
AMZN,Amazoncom Inc,20190214,3.36,Amazon faces probe into treatment of sellers in Austria 
AMZN,Amazoncom Inc,20190213,-22.5,Cities shunned by Amazon revive hopes for HQ given New York opposition 
AMZN,Amazoncom Inc,20190213,-22.5,Breakingviews - Amazon can afford to give Big Apple one more shot 
AMZN,Amazoncom Inc,20190213,-22.5,Cities shunned by Amazon revive hopes for HQ given New York opposition 
AMZN,Amazoncom Inc,20190213,-22.5,Amazon  GM in talks to invest in electric pickup truck maker Rivian: sources 
AMZN,Amazoncom Inc,20190213,-22.5,Morning News Call - India  February 13 
AMZN,Amazoncom Inc,20190213,-22.5,UPDATE 3-Amazon  GM in talks to invest in electric pickup truck maker Rivian -sources 
AMZN,Amazoncom Inc,20190212,43.0,BRIEF-Leone Film Group Signs Agreement With Amazon Prime Video 
AMZN,Amazoncom Inc,20190211,3.02,Amazon to buy wi-fi startup eero 
AMZN,Amazoncom Inc,20190211,3.02,Amazon to buy wi-fi startup eero 
AMZN,Amazoncom Inc,20190207,-39.0,Amazon's Bezos says National Enquirer tried to blackmail him over 'intimate photos' 
AMZN,Amazoncom Inc,20190207,-39.0,Woody Allen sues Amazon Studios for quitting movie deal 
AMZN,Amazoncom Inc,20190207,-39.0,UPDATE 1-Woody Allen sues Amazon Studios for quitting movie deal 
AMZN,Amazoncom Inc,20190207,-39.0,Woody Allen sues Amazon Studios for quitting movie deal 
AMZN,Amazoncom Inc,20190207,-39.0,Amazon calls for transparent use of facial ID tech by law enforcement agencies 
AMZN,Amazoncom Inc,20190207,-39.0,Amazon calls for transparent use of facial ID tech by law enforcement agencies 
AMZN,Amazoncom Inc,20190207,-39.0,Ambani to invest $1.4 billion in Indian state  will help e-commerce expansion 
AMZN,Amazoncom Inc,20190207,-39.0,Ambani to invest $1.4 bln in Indian state  will help e-commerce expansion 
AMZN,Amazoncom Inc,20190207,-39.0,Norway wealth fund flexes its muscles on executive pay  CEOs holding role of chairman 
AMZN,Amazoncom Inc,20190207,-39.0,Amazon changes business structures in India to bring big seller back: sources 
AMZN,Amazoncom Inc,20190206,-45.75,Scoot over Microsoft: Apple again the most valuable U.S. company 
AMZN,Amazoncom Inc,20190206,-45.75,Scoot over Microsoft: Apple again the most valuable U.S. company 
AMZN,Amazoncom Inc,20190206,-45.75,Fight over new hire at Amazon  Berkshire  JPMorgan health venture put on hold 
AMZN,Amazoncom Inc,20190205,27.41,Amazon grocery service slowly returns in India after e-commerce disruption 
AMZN,Amazoncom Inc,20190205,27.41,Amazon grocery service slowly returns in India after e-commerce disruption 
AMZN,Amazoncom Inc,20190205,27.41,Amazon adds Starbucks' Rosalind Brewer to board 
AMZN,Amazoncom Inc,20190204,20.34,CORRECTED-Amazon adds Starbucks' Rosalind Brewer to board 
AMZN,Amazoncom Inc,20190204,20.34,Apple briefly regains title as most valuable U.S. company 
AMZN,Amazoncom Inc,20190204,20.34,UPDATE 1-Apple briefly regains title as most valuable U.S. company 
AMZN,Amazoncom Inc,20190204,20.34,Apple briefly regains title as most valuable U.S. company 
AAL,American Airlines Group Inc,20190327,0.74,American Airlines pilots 'optimistic  but cautious' on 737 MAX fix 
AAL,American Airlines Group Inc,20190327,0.74,American Airlines pilots 'optimistic  but cautious' on 737 MAX fix 
AAL,American Airlines Group Inc,20190313,0.74,American Airlines rebooking customers after U.S. grounds 737 MAX 
AAL,American Airlines Group Inc,20190313,0.74,UPDATE 1-American Airlines rebooking customers after U.S. grounds 737 MAX 
AAL,American Airlines Group Inc,20190313,0.74,American Airlines rebooking customers after U.S. bans 737 MAX 
AAL,American Airlines Group Inc,20190312,-0.97,U.S. airlines stand by Boeing's 737 MAX  saying data shows it is safe 
AAL,American Airlines Group Inc,20190307,-0.8,American Airlines grounds 14 planes due to overhead bin issue 
AAL,American Airlines Group Inc,20190307,-0.8,UPDATE 3-American Airlines grounds 14 planes due to overhead bin issue 
AAL,American Airlines Group Inc,20190307,-0.8,RPT-American Airlines grounds 14  planes due to overhead bin issue 
AAL,American Airlines Group Inc,20190307,-0.8,AMERICAN AIRLINES-MAINTENANCE/-American Airlines grounds 14  planes due to overhead bin issue 
AAL,American Airlines Group Inc,20190228,-0.05,UPDATE 2-U.S. fines American Airlines  Delta for long tarmac delays 
AAL,American Airlines Group Inc,20190228,-0.05,FAA fines American Airlines  Delta for long tarmac delays 
AMGN,Amgen Inc,20190404,1.03,Novartis  Amgen in dispute over migraine drug partnership 
AMGN,Amgen Inc,20190404,1.03,UPDATE 3-Novartis  Amgen in dispute over migraine drug partnership 
AMGN,Amgen Inc,20190404,1.03,BRIEF-Novartis Announced Today There Is A Legal Dispute With Amgen Regarding Collaboration Agreements In Field Of Migraine 
AMGN,Amgen Inc,20190404,1.03,Novartis sues Amgen over migraine treatment Aimovig 
AMGN,Amgen Inc,20190226,-0.82,Sanofi  Regeneron lose U.S. patent challenge to Amgen cholesterol drug 
AMGN,Amgen Inc,20190225,0.9,UPDATE 2-Sanofi  Regeneron lose U.S. patent challenge to Amgen cholesterol drug 
AMGN,Amgen Inc,20190225,0.9,CORRECTED-UPDATE 1-Sanofi  Regeneron lose U.S. patent challenge to Amgen cholesterol drug -report 
AMGN,Amgen Inc,20190225,0.9,CORRECTED-Sanofi  Regeneron lose U.S. patent challenge to Amgen cholesterol drug 
AMGN,Amgen Inc,20190211,0.5358,Judge bars Amgen’s willfulness claims in retrial of cholesterol-drug patent lawsuit 
AMGN,Amgen Inc,20190211,0.5358,Sanofi and Regeneron cut list price of cholesterol drug by 60 percent 
AMGN,Amgen Inc,20190211,0.5358,Sanofi and Regeneron cut list price of cholesterol drug by 60 pct 
AAPL,Apple Inc,20190404,1.66,Apple cuts iPhone XR prices in India: sources 
AAPL,Apple Inc,20190404,1.66,UPDATE 1-Apple cuts iPhone XR prices in India -sources 
AAPL,Apple Inc,20190404,1.66,Apple cuts iPhone XR prices in India -sources 
AAPL,Apple Inc,20190403,1.54,Exclusive: Japan Display to supply OLED screens for Apple Watch - sources 
AAPL,Apple Inc,20190402,2.16,Apple  luxury brands drop prices in China on VAT cut 
AAPL,Apple Inc,20190402,2.16,UPDATE 2-Apple  luxury brands drop prices in China on VAT cut 
AAPL,Apple Inc,20190402,2.16,Apple  luxury brands drop China prices as VAT cuts come into effect 
AAPL,Apple Inc,20190402,2.16,Troubled Apple supplier Japan Display to seek funding  shares surge 
AAPL,Apple Inc,20190402,2.16,CORRECTED-Troubled Apple supplier Japan Display to seek funding  shares surge 
AAPL,Apple Inc,20190328,0.88,Ovations  hugs and soaring speeches as Apple embraces Hollywood 
AAPL,Apple Inc,20190328,0.88,Apple spotlights services with TV  gaming and credit card offerings 
AAPL,Apple Inc,20190328,0.88,Buffett says Apple content plan hard to predict  touts airline safety 
AAPL,Apple Inc,20190328,0.88,Buffett says Apple content plan hard to predict  touts airline safety 
